ID,Budget_y,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue_y,Runtime,Title_y,MPAA,Running Time,Genres,Title_x,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget_x,domestic_revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
47760,8000000,"[18, 10749]","['Drama', 'Romance']",tt1498569,"[5, 23, 2894]","['Columbia Pictures', 'Imagine Entertainment', '360 Pictures']",9/16/11,2518012,91,Restless,PG-13,1 hr 31 min,Drama Romance,Restless (2011),tt1498569,Sony Pictures Classics,15467,"September 16, 2011 (Domestic)",8000000,163265,2354747,2518012,2011,8000000,163265
90170,0,[27],['Horror'],tt1499302,[115470],['Jeoa Productions'],9/30/11,0,90,"Filth to Ashes, Flesh to Dust",,1 hr 30 min,Horror,"Filth to Ashes, Flesh to Dust (2011)",tt1499302,Nocturnal Features,86086,"September 30, 2011 (Domestic)",0,202531,202531,,2011,100000,202531
51540,35000000,"[35, 80]","['Comedy', 'Crime']",tt1499658,"[12, 12007]","['New Line Cinema', 'RAT Entertainment']",7/8/11,209838559,98,Horrible Bosses,R,1 hr 38 min,Comedy Crime,Horrible Bosses (2011),tt1499658,Warner Bros.,28302165,"July 7, 2011 (EMEA)",35000000,117538559,92300000,209838559,2011,35000000,117538559
47327,50000000,"[14, 53, 28, 80]","['Fantasy', 'Thriller', 'Action', 'Crime']",tt1502404,"[491, 831, 925, 11370, 1020]","['Summit Entertainment', 'Saturn Films', 'Nu Image', 'Michael De Luca Productions', 'Millennium Media']",2/24/11,40909909,105,Drive Angry,R,1 hr 44 min,Action Comedy Fantasy Thriller,Drive Angry (2011),tt1502404,Summit Entertainment,5187625,"February 24, 2011 (APAC, EMEA)",0,10721033,30188876,40909909,2011,50000000,10721033
65762,0,"[35, 10749]","['Comedy', 'Romance']",tt1502420,"[1490, 133778, 63607, 141558]","['Kintop Pictures', 'Filmaka.com', 'StarLight Films', 'Serendipity Films']",6/1/11,0,85,Swinging with the Finkels,R,1 hr 25 min,Comedy Romance,Swinging with the Finkels (2011),tt1502420,,,"June 17, 2011 (United Kingdom)",0,72897,72897,,2011,100000,72897
86495,0,[18],['Drama'],tt1503149,[11065],['The Film Works'],2/4/11,0,90,Oliver Sherman,,1 hr 22 min,Drama Thriller War,Oliver Sherman (2010),tt1503149,,,"May 18, 2012 (Brazil)",0,5097,5097,,2011,100000,5097
70435,23000000,"[28, 18, 53]","['Action', 'Drama', 'Thriller']",tt1506999,"[7295, 1898, 181992]","['Relativity Media', 'Fís Éireann/Screen Ireland', 'Mandate International']",11/1/11,33372606,93,Haywire,R,1 hr 33 min,Action Drama Thriller,Haywire (2011),tt1506999,Relativity Media,8425370,"January 19, 2012 (APAC, EMEA)",23000000,18942396,15571364,34513760,2011,23000000,18942396
59963,25000000,"[53, 12, 18]","['Thriller', 'Adventure', 'Drama']",tt1507563,"[4636, 9987, 44811, 22546, 22545, 39708, 20659, 19369, 773]","['Social Capital', 'Lipsync Productions', 'Alliance Cinema', 'Magnet Media Group', 'Magnet Media Productions', 'Mirabelle Pictures', 'Cinedigm', 'Procinvest Sas', 'Film Afrika']",3/28/12,432274,113,Dark Tide,PG-13,1 hr 54 min,Adventure Drama Thriller,Dark Tide (2012),tt1507563,Wrekin Hill Entertainment,,"March 30, 2012 (Domestic)",0,1167612,1167612,,2012,25000000,1167612
80192,0,[],[],tt1509191,[123562],['Kinoskopik Film Produktion'],10/21/11,0,85,Ori,,1 hr 25 min,Drama,Ori (2009),tt1509191,,,"October 21, 2011 (Spain)",0,2186,2186,,2011,100000,2186
52451,75000000,"[12, 28, 53]","['Adventure', 'Action', 'Thriller']",tt1509767,"[491, 47, 248, 45198, 144244, 939, 264]","['Summit Entertainment', 'Constantin Film', 'Impact Pictures', 'Deutscher Filmförderfonds', 'Nouvelles Éditions de Films (NEF)', 'New Legacy Film', 'Studio Babelsberg']",8/31/11,132274484,110,The Three Musketeers,PG-13,1 hr 50 min,Action Adventure Fantasy Romance Thriller,The Three Musketeers (2011),tt1509767,Summit Entertainment,8674452,"September 1, 2011 (EMEA)",75000000,20374484,111900000,132274484,2011,75000000,20374484
