,TMDB ID,TMDB Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,TMDB Revenue,Runtime,TMDB Title,MPAA,Running Time,Genres,IMDB Title,Domestic Distributor,Domestic Opening,Earliest Release Date,IMDB Budget,IMDB Domestic Revenue,international_revenue,worldwide_revenue,Release Year,Merged Budget,Merged Revenue
908,71679,65000000,"[28, 27, 878]","['Action', 'Horror', 'Science Fiction']",tt1855325,"[12163, 47, 3287]","['Davis Films/Impact Pictures', 'Constantin Film', 'Screen Gems']",9/12/12,240159255,95,Resident Evil: Retribution,R,1 hr 35 min,Action Horror Sci-Fi Thriller,Resident Evil: Retribution (2012),Screen Gems,21052227.0,"September 12, 2012 (APAC)",65000000,42345531,197813724.0,240159255.0,2012,65000000,42345531
909,79940,0,[35],['Comedy'],tt1855401,"[21213, 846, 4740]","['Funny or Die', '2929 Productions', 'Gary Sanchez Productions']",3/2/12,0,94,Tim and Eric's Billion Dollar Movie,R,1 hr 33 min,Comedy,Tim and Eric's Billion Dollar Movie (2012),Magnolia Pictures,87475.0,"March 2, 2012 (Domestic)",0,201436,22144.0,223580.0,2012,100000,201436
910,86723,0,[99],['Documentary'],tt1856109,[],[],9/9/11,0,93,Where Soldiers Come From,,1 hr 32 min,Documentary,Where Soldiers Come From (2011),International Film Circuit,,"September 9, 2011 (Domestic)",0,39201,39201.0,,2011,100000,39201
911,110963,0,[99],['Documentary'],tt1857740,[],[],5/14/11,0,81,Bollywood: The Greatest Love Story Ever Told,,1 hr 21 min,Documentary,Bollywood: The Greatest Love Story Ever Told (2011),,,"April 5, 2012 (Hong Kong)",0,6118,6118.0,,2011,100000,6118
912,133463,500000,"[53, 27, 35]","['Thriller', 'Horror', 'Comedy']",tt1857842,[8822],['Green Light Productions'],11/3/12,1000000,93,Redd Inc.,R,1 hr 33 min,Horror Thriller,Inhuman Resources (2012),,,,0,0,,,2012,500000,1000000
913,405520,0,[80],['Crime'],tt1859435,[],[],1/1/11,0,85,31 Million Reasons,,,Crime,31 Million Reasons (2011),,,"January 13, 2012 (South Africa)",0,113480,113480.0,,2011,100000,113480
914,105525,0,[99],['Documentary'],tt1859553,[],[],5/18/12,0,0,Never Stand Still,,1 hr 18 min,Biography Documentary,Never Stand Still (2012),First Run,1951.0,"May 18, 2012 (Domestic)",0,14272,14272.0,,2012,100000,14272
915,130953,0,[35],['Comedy'],tt1859607,"[7584, 73380, 148124]","['Screen Australia', 'Riley Turner Productions', 'Rick McKenna Entertainment']",9/6/12,0,86,Kath & Kimderella,,1 hr 26 min,Comedy,Kath & Kimderella (2012),,,"September 6, 2012 (Australia)",0,6150771,6150771.0,,2012,100000,6150771
916,81836,17000000,"[35, 10749]","['Comedy', 'Romance']",tt1859650,"[12010, 12966, 6246, 1824, 58, 10146]","['Mediapro', 'Perdido Productions', 'Medusa Film', 'Gravier Productions', 'Sony Pictures Classics', 'Focus Features']",4/20/12,73244881,111,To Rome with Love,R,1 hr 52 min,Comedy Music Romance,To Rome with Love (2012),Sony Pictures Classics,361359.0,"April 20, 2012 (Italy)",0,16685867,56559014.0,73244881.0,2012,17000000,16685867
917,134680,0,[35],['Comedy'],tt1860180,[],[],2/5/11,60,60,Billy Gardell: Halftime,,1 hr,Comedy,Billy Gardell: Halftime (2011),,,,0,0,,,2011,100000,60
