,Earliest Release Date,Running Time,Genres,Title,Revenue,Domestic Distributor,Domestic Opening,MPAA,IMDB_ID
102,,1 hr 3 min,Drama,Samakatuwid (2022),{},,,,tt27047221
103,,6 min,Documentary Short,The Arts at the University of Mississippi (2022),{},,,,tt22410346
104,,1 hr 35 min,Documentary,Jonas Deichmann - Das Limit bin nur ich (2022),{},,,,tt16986722
105,"July 22, 2022 (Iceland)",1 hr 45 min,Action Adventure Animation Comedy Crime Family Fantasy Sci-Fi,DC League of Super-Pets (2022),"{'Domestic': 93657117, 'International': 113900000, 'Worldwide': 207557117}",Warner Bros.,23003441,PG,tt8912936
106,,1 hr 39 min,Documentary,Conscientious Protectors: A Story of Rebellion Against Extinction (2022),{},,,,tt18951396
107,,24 min,History Short,Dinosaur Quiz (2022),{},,,,tt20256232
108,,45 min,Animation,How Does Soap Clean Your Hands? (2022),{},,,,tt20245854
109,,1 hr 3 min,Drama,"Zephyr, deb (2022)",{},,,,tt18263828
110,"July 15, 2022 (United Kingdom)",1 hr 44 min,Biography Documentary Sport,McEnroe (2022),"{'Domestic': 49902, 'International': 49902}",,,,tt19801212
111,,2 hr,Documentary Reality-TV,Radford Returns (2022),{},,,,tt17158150
112,,14 min,Comedy Short,Ravioli Night (2022),{},,,,tt24017620
113,,1 hr 32 min,Comedy,Sharp Stick (2022),{},,,R,tt14158346
114,"August 26, 2022 (Domestic)",1 hr 43 min,Crime Drama Thriller,Breaking (2022),"{'Domestic': 2806359, 'International': 2806359}",Bleecker Street Media,985921,PG-13,tt12311620
115,,20 min,Fantasy Horror Short Thriller,Rêver (2022),{},,,,tt27048335
116,,2 hr 12 min,Drama,The Adventures of Ben Keller and Christoph Schultz (2023),{},,,,tt20895650
117,"June 17, 2022 (Domestic)",1 hr 36 min,Romance,First Love (2022),{},Vertical Entertainment,,,tt14726510
118,,30 min,Drama Short,Up & Over (2022),{},,,,tt19784390
119,,17 min,Short Sport,The Ridge: An Epic Fishing Saga (2022),{},,,,tt27048487
120,"June 1, 2022 (South Korea)",2 hr 27 min,Action Adventure Sci-Fi Thriller,Jurassic World Dominion (2022),"{'Domestic': 376851080, 'International': 625127000, 'Worldwide': 1001978080}",Universal Pictures,145075625,PG-13,tt8041270
121,"October 7, 2022 (United Kingdom)",1 hr 27 min,Documentary,Vicky (2022),"{'Domestic': 11103, 'International': 11103}",,,,tt21813906
122,,1 hr,,Faces of Dying V (2022),{},,,,tt19878836
123,,,Mystery,Batman: Stained Heir (2022),{},,,,tt26349369
124,,24 min,Biography Music Short,Few Good Things (2022),{},,,,tt22528160
125,,1 hr,Horror,Don't Trick-Or-Treat Alone! (2022),{},,,,tt21187572
126,,39 min,Drama Short,Caught in the Middle 2 (2022),{},,,,tt20835710
127,,53 min,Sport,World Class Bass Lakes of Southern California (2022),{},,,,tt27050706
128,,1 hr 28 min,Documentary,6655 Mount Vernon Road (2022),{},,,,tt27050840
129,,6 min,Comedy Short,Down for Dee (2022),{},,,,tt21198542
130,,1 hr 20 min,Crime,Confessionem (2022),{},,,,tt18309974
131,,1 hr 5 min,Documentary,The Fear of Speed by Elias Schwärzler (2022),{},,,,tt27051121
132,,40 min,Family Music Short,Learning Songs for Toddlers: Bounce Patrol (2022),{},,,,tt27051122
133,,1 hr 36 min,Drama,"I Do, I Don't (2022)",{},,,,tt20426938
134,,4 min,Animation Short,Ask a Cat #3 (2022),{},,,,tt16976824
135,,41 min,Documentary Short,The Allure of Antigua: Gem of the Caribbean (2022),{},,,,tt27051662
136,,3 hr 30 min,Comedy,Underground Comics (2022),{},,,,tt27051765
137,,1 hr 29 min,Drama,Through it All (2022),{},,,,tt27051847
138,,24 min,Drama Short,Unknown Disease (2022),{},,,,tt22048536
139,,16 min,Documentary Short,A-Train (2022),{},,,,tt20958656
140,,1 hr 35 min,Drama,Edward and Isabella (2022),"{'Domestic': 4288, 'International': 4288}",,,,tt17072974
141,,34 min,Comedy Short,Joshua the Ventriloquist: Fleecing the Family (2022),{},,,,tt27827708
142,,11 min,Documentary Drama Short,Where Is the Friend's Home? (2023),{},,,,tt19580884
143,,40 min,Crime Short,Implosion (2022),{},,,,tt24999342
144,,57 min,Documentary,Miracle Matthew (2022),{},,,,tt20953222
145,,1 hr 34 min,Documentary,Las Abogadas: Attorneys on the Front Lines of the Migrant Crisis (2022),{},,,,tt28285522
146,,30 min,Documentary Short,Mike Quarry (2022),{},,,,tt20950474
147,,24 min,Documentary Short,The King of Miami Beach (2022),{},,,,tt20952264
148,,1 hr 53 min,Documentary,America Sounds A Red and Blue Amber Alert,{},,,,tt23831360
149,,28 min,Documentary Short,The Raging Bull (2022),{},,,,tt20954864
150,,1 hr 42 min,Documentary,The Elephants and the Grass (2022),{},,,,tt10239332
151,,21 min,Animation Short,Heartland of America Reagan's Room (2022),{},,,,tt27052732
152,,1 hr 15 min,Documentary,State of Control (2022),{},,,,tt27411798
153,,31 min,Drama Short,Choices: The Movie (2022),{},,,,tt27052827
154,,,Horror,Shifted (2022),{},,,,tt14966920
155,"May 20, 2022 (Domestic)",1 hr 29 min,Documentary,2000 Mules (2022),"{'Domestic': 1465513, 'International': 1465513}",D'Souza Media,751755,,tt18924506
156,,,Drama Horror Thriller,Scuttlers,{},,,,tt8059694
157,,5 min,Horror Short,The Wrong Parking Lot (2022),{},,,,tt22863068
158,,20 min,Fantasy Short,Jatana (2020),{},,,,tt11692182
159,,,Drama Short,Zora,{},,,,tt22482542
160,,1 hr 27 min,Drama Horror Mystery Thriller,The Demon's Child (2022),{},,,,tt14242974
161,,27 min,Horror Short,Lit A$$ B!tche$ (2022),{},,,,tt21041530
162,,1 hr 32 min,Documentary,Fire Front (2022),"{'Domestic': 64, 'International': 64}",,,,tt18259454
163,,1 hr 22 min,Horror,Final Summer (2023),{},,,,tt12699576
164,,59 min,Comedy,Gilly and Keeves: The Special (2022),{},,,,tt22376154
165,"August 4, 2022 (Croatia)",1 hr 34 min,Thriller,Stowaway (2021),"{'Domestic': 30556, 'International': 30556}",,,R,tt8889818
