ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
68805,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3281,145,124,429,373,249,89,30,30,174,144,144,0,0,0
3287,227,0,325,127,218,231,310,219,127,50,50,186,209,447
3291,0,0,0,0,0,60,60,60,0,0,0,0,0,0
3294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3298,0,0,0,0,70,70,70,0,0,0,0,0,0,0
134371,0,0,0,0,0,0,0,0,0,0,68,68,68,0
199906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36067,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3314,0,0,0,0,21,21,21,0,0,0,0,0,0,0
3319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3324,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36109,0,0,0,0,0,0,0,63,68,72,9,4,0,0
3341,0,0,0,93,125,200,300,342,267,74,0,0,0,0
134414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134416,0,0,0,0,0,0,0,0,0,0,35,35,35,0
3345,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199951,0,0,0,0,0,0,0,0,0,0,0,0,38,38
