ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
942302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,21,21,111,90,90,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,0,7,7
1024227,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1810663,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57579,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57581,0,0,0,0,0,0,0,0,0,6,6,6,0,0
1196271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
557305,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82194,0,0,0,66,66,85,19,19,0,0,0,0,0,0
966933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1745178,0,0,0,0,0,0,0,0,0,59,59,59,0,0
1417500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1229085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843486,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57633,0,0,0,87,87,87,80,80,137,57,57,0,0,0
1450271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934181,0,0,0,0,0,0,0,55,55,55,0,0,0,0
1106213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459050,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1827119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1466676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098038,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3342649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
966969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90429,0,0,59,59,59,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98631,0,0,0,0,0,0,5,5,5,0,0,89,89,89
557383,0,0,0,0,0,0,0,0,0,0,47,47,47,0
41285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212755,0,0,0,0,0,0,0,0,0,12,12,12,0,0
82259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1032536,0,0,0,0,94,94,94,0,0,0,0,0,0,0
131416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1335642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1352023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023773,0,0,0,0,0,0,0,0,0,0,6,6,6,0
57691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,21,21,21,0,0,0,0
123238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1376617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450348,0,0,0,0,0,0,0,0,0,0,92,92,182,90
366,57,0,57,81,81,81,0,90,90,170,80,80,0,89
1286511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1302895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098107,0,0,12,12,12,0,0,0,0,0,0,0,0,0
90492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57742,0,0,0,0,0,0,0,0,32,32,32,0,0,0
16785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1679761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1204630,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1286552,0,0,0,0,0,0,0,0,0,0,45,45,45,0
1286553,0,0,0,0,0,0,0,0,0,0,45,45,45,0
57755,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524700,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33183,0,34,67,67,33,0,0,3,3,3,0,0,0,0
82337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1450404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33192,0,0,0,0,0,38,38,38,0,0,0,0,0,0
1180074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82351,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98744,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1024441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16829,0,0,0,0,0,0,0,0,0,0,54,54,54,0
1155518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549310,0,0,0,0,0,0,43,43,43,0,0,0,0,0
98750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131518,0,0,0,0,0,0,0,0,0,0,0,0,0,9
147901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131521,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16837,13,0,13,0,0,0,0,0,0,0,0,0,0,0
49605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90575,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16847,0,0,0,0,0,0,0,0,77,77,77,0,0,0
57810,0,0,0,0,0,0,0,0,0,0,0,0,34,34
1163731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16853,0,0,0,0,0,8,8,8,0,0,0,0,0,0
468,0,0,9,9,9,0,0,0,0,0,0,0,0,0
90583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16860,0,0,0,0,0,0,0,0,0,0,37,37,37,0
1827295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90591,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3564002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8676,0,0,0,0,0,0,0,28,28,28,0,0,0,0
2556383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,0,0,0,0,5,5
488,0,117,205,205,88,61,107,107,186,140,140,70,115,115
844266,0,0,0,0,0,0,0,0,0,0,69,128,128,59
1966571,0,0,0,0,0,0,0,0,0,0,0,57,57,57
8684,0,0,28,28,28,0,0,0,0,0,0,0,0,0
8685,0,20,20,28,8,8,0,0,0,0,0,0,0,0
1491437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90609,0,0,0,0,0,0,0,0,0,0,77,77,77,0
82418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
983547,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,99,0,176,77,77,0,69,69,69,79,79,79,0,0
1409534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2966019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1090053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,95,0,194,99,185,86,86,87,87,87,91,91,91,95
90638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1327643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1360417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1245730,0,0,0,0,0,0,0,0,0,36,36,36,0,0
33315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66088,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16938,0,0,0,0,0,0,82,82,82,0,0,4,4,4
559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540658,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1475130,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57917,0,0,0,0,0,4,4,4,0,0,0,0,0,27
1638970,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,76,0,153,77,127,143,143,166,73,73,0,119,119,119
49730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139847,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66121,0,0,0,0,0,31,31,31,6,6,6,0,0,0
229962,0,0,85,85,85,0,56,56,56,0,0,0,0,0
1352267,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1319499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41549,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90698,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82511,43,40,83,40,62,62,62,0,72,72,72,72,72,72
115279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131664,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131668,0,0,0,0,0,0,0,0,0,0,0,0,0,7
131669,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,0,0,0,0,0,0,0,43,43,43,0,0,0,0
115298,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172651,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213613,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1262197,0,0,0,0,49,49,49,0,0,0,0,0,0,0
1802869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17016,0,0,0,0,0,0,0,0,0,0,0,0,0,28
25210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
991868,0,0,0,0,0,26,26,26,38,38,38,0,0,0
2187899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401474,0,0,0,0,0,0,0,0,74,74,74,0,0,0
642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1491596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66191,0,0,0,23,23,23,0,0,0,0,0,0,0,0
8844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1163921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66193,92,0,92,89,89,89,0,0,0,0,94,94,94,0
1598098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1213074,0,0,0,0,0,0,0,0,53,53,53,0,0,0
58005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41621,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17046,39,0,39,0,0,0,0,0,0,0,0,0,0,0
1295001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8858,0,49,49,49,2,2,2,0,0,0,0,0,0,0
17051,0,0,0,0,0,0,0,5,5,5,0,0,0,0
74396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221850,0,0,0,0,0,0,0,0,0,0,0,0,12,12
33433,0,0,48,48,48,0,0,0,0,0,0,0,0,0
107168,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
967330,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1499810,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
688807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073834,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41650,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90810,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90812,0,0,0,0,0,0,0,0,0,0,0,0,24,24
1024702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17087,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1663682,0,0,0,0,0,0,0,0,0,0,0,0,11,11
123586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90818,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1401541,0,0,0,0,0,3,3,3,0,0,14,14,14,0
1401542,0,0,0,0,0,3,3,3,0,0,14,14,14,0
41671,37,0,37,0,0,0,0,0,0,0,0,0,0,36
1336006,0,0,0,0,0,0,0,0,0,0,39,39,39,0
1426120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1139404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1368782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131792,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1483498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098477,0,0,0,43,43,43,0,19,19,19,0,71,71,128
49903,0,75,75,75,0,0,0,0,0,0,83,83,83,0
131827,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221944,0,0,0,0,0,0,0,0,0,0,0,0,9,9
1385213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
