Index,ID
245,99011
246,711
247,25293
248,197326
249,82643
250,1155798
251,312027
252,197357
253,918256
254,107252
255,303862
256,656121
257,705275
258,918265
259,49922
260,90881
261,312070
262,49929
263,213770
264,115469
265,525071
266,786
267,1147669
268,49947
269,361244
270,123675
271,148256
272,213792
273,148258
274,361258
275,312108
276,1065773
277,361264
278,107312
279,361266
280,1155891
281,123701
282,361265
283,82742
284,17208
285,820026
286,639806
287,295752
288,353096
289,50008
290,99163
291,99176
292,279401
293,213867
294,131948
295,123760
296,320374
297,476024
298,889
299,213884
300,533373
301,50044
302,320389
303,959371
304,959370
305,312205
306,279439
307,959376
308,279441
309,172946
310,213914
311,115610
312,66464
313,549793
314,893861
315,25520
316,443315
317,1074100
318,418741
319,955
320,361406
321,115646
322,1164224
323,500674
324,271300
325,304070
326,361418
327,1156044
328,1156045
329,1156046
330,369630
331,623590
332,1008622
333,271348
334,82936
335,214014
336,181252
337,115717
338,467974
339,173062
340,476170
341,607258
342,345117
343,173093
344,320556
345,82988
346,353327
347,468017
348,50225
349,844851
350,836664
351,287807
352,287808
353,1172545
354,58433
355,9285
356,975942
357,287816
358,58441
359,74824
360,205902
361,214094
362,42068
363,197725
364,197727
365,115810
366,287845
367,181351
368,271464
369,410731
370,83064
371,345208
372,345212
373,345218
374,50309
375,74885
376,345223
377,345221
378,345226
379,115858
380,959636
381,279700
382,279704
383,66716
384,271517
385,279708
386,9383
387,459951
388,296117
389,197817
390,312520
391,33994
392,345291
393,648396
394,599245
395,648398
396,124110
397,50380
398,271570
399,42195
400,615641
401,66778
402,214235
403,83166
404,140511
405,214238
406,845025
407,214240
408,845027
409,255203
410,206053
411,845030
412,214246
413,287971
414,287978
415,34027
416,320748
417,99565
418,34031
419,279793
420,287987
421,34037
422,124151
423,320761
424,656636
425,935164
426,328954
427,754942
428,320772
429,320776
430,337162
431,34056
432,894220
433,394513
434,419092
435,75028
436,75031
437,320792
438,124184
439,353564
440,320800
441,132393
442,75049
443,861485
444,50477
445,17711
446,9519
447,312626
448,9532
449,492865
450,378181
451,42313
452,337229
453,116046
454,1359
455,984401
456,304466
457,206163
458,75092
459,312661
460,304472
461,206168
462,304474
463,42332
464,124264
465,673132
466,673137
467,247154
468,288116
469,312696
470,206204
471,9600
472,836996
473,42391
474,107942
475,820648
476,83368
477,820650
478,99754
479,927151
480,230842
481,107971
482,124356
483,402883
484,9678
485,9679
486,1493
487,67046
488,312806
489,140786
490,353779
491,17908
492,845302
493,894455
494,34299
495,910846
496,321023
497,960002
498,1164803
499,648714
500,9741
501,321049
502,386592
503,255527
504,83500
505,411182
506,411184
507,550449
508,1588
509,329269
510,58935
511,362039
512,296509
513,1597
514,1609
515,42574
516,18002
517,1619
518,403027
519,18011
520,886368
521,58976
522,1636
523,509548
524,99956
525,132725
526,50809
527,18041
528,894588
529,706175
530,83581
531,968321
532,99964
533,140931
534,26244
535,26245
536,640652
537,91790
538,9871
539,214680
540,18074
541,214684
542,263841
543,26274
544,247458
545,165541
546,550571
547,59055
548,132785
549,67252
550,1042106
551,394939
552,108219
553,91840
554,263877
555,75466
556,263884
557,730835
558,296677
559,247528
560,18153
561,354029
562,354030
563,354031
564,182002
565,157423
566,354040
567,354037
568,354035
569,288516
570,902917
571,968455
572,345864
573,812807
574,9995
575,16641
576,108311
577,640792
578,354073
579,1156890
580,345882
581,278788
582,354081
583,640802
584,231204
585,640806
586,354086
587,354087
588,1156905
589,1831
590,591656
591,1173292
592,509734
593,1173295
594,321327
595,1173298
596,1173300
597,411443
598,10035
599,354115
600,436039
601,526158
602,689998
603,321365
604,116569
605,1083228
606,132970
607,681834
608,698220
609,1900
610,173929
611,108400
612,632682
613,591730
614,1907
615,1116020
616,18292
617,42868
618,42877
619,354178
620,59271
621,1165198
622,673693
623,51107
624,354211
625,264105
626,34729
627,812983
628,321469
629,411584
630,411589
631,387014
632,51145
633,493515
634,427980
635,501710
636,133071
637,116688
638,116683
639,214994
640,288728
641,165847
642,18394
643,370653
644,10205
645,370655
646,346080
647,370657
648,1066974
649,354270
650,354269
651,428006
652,2024
653,706537
654,264173
655,51181
656,903148
657,51179
658,133107
659,927737
660,763897
661,288765
662,2046
663,75778
664,141319
665,714760
666,411663
667,714768
668,2067
669,714773
670,2069
671,2085
672,2090
673,84007
674,2089
675,26665
676,297006
677,92208
678,2096
679,288825
680,714811
681,272452
682,43079
683,403529
684,2123
685,804941
686,2133
687,75864
688,198748
689,2155
690,256112
691,215157
692,297077
693,501880
694,264316
695,2173
696,321663
697,1050753
698,51333
699,272522
700,2188
701,10383
702,10384
703,10385
704,206994
705,272527
706,10391
707,542873
708,10393
709,26779
