Index,ID
1005,10263
1006,10320
1007,10476
1008,10707
1009,10851
1010,10982
1011,11096
1012,207747
1013,11283
1014,11354
1015,11400
1016,11431
1017,11451
1018,11453
1019,11459
1020,11460
1021,44250
1022,11559
1023,11637
1024,11638
1025,11648
1026,11679
1027,11683
1028,11804
1029,11968
1030,12142
1031,12228
1032,12700
1033,111164
1034,13341
1035,13374
1036,13498
1037,13499
1038,46336
1039,13682
1040,13919
1041,13922
1042,14120
1043,14167
1044,14175
1045,14177
1046,14199
1047,14278
1048,14517
1049,14631
1050,47880
1051,15402
1052,15487
1053,16320
1054,16367
1055,16553
1056,16608
1057,17113
1058,17186
1059,508882
1060,17880
1061,17926
1062,18070
1063,18777
1064,18840
1065,18882
1066,19183
1067,19723
1068,22060
1069,23478
1070,23592
1071,24363
1072,24546
1073,24618
1074,222060
1075,27360
1076,27819
1077,193704
1078,63703
1079,96504
1080,31450
1081,58
1082,82
1083,182
1084,186
1085,214
1086,313
1087,326
1088,350
1089,388
1090,496
1091,503
1092,512
1093,588
1094,591
1095,752
1096,773
1097,806
1098,834
1099,920
1100,950
1101,956
1102,1116
1103,1123
1104,1125
1105,1124
1106,66669
1107,1164
1108,1165
1109,1246
1110,1247
1111,1252
1112,1251
1113,1259
1114,1262
1115,1372
1116,1378
1117,1381
1118,1402
1119,1422
1120,1427
1121,1440
1122,1441
1123,1452
1124,1491
1125,1523
1126,1579
1127,1581
1128,1590
1129,1593
1130,1666
1131,1690
1132,1717
1133,1730
1134,1781
1135,1819
1136,1852
1137,1887
1138,1948
1139,1969
1140,1975
1141,2044
1142,198701
1143,2179
1144,2207
1145,2295
1146,2324
1147,2486
1148,3093
1149,3509
1150,3683
1151,36557
1152,36668
1153,4257
1154,4643
1155,37725
1156,5820
1157,6877
1158,7304
1159,7457
1160,7484
1161,7510
1162,7512
1163,7516
1164,7518
1165,7551
1166,7859
1167,7874
1168,7985
1169,8014
1170,8618
1171,41393
1172,74180
1173,565916
1174,8975
1175,8998
1176,9035
1177,9036
1178,9044
1179,9053
1180,9072
1181,9270
1182,9286
1183,9293
1184,9297
1185,9310
1186,9339
1187,9353
1188,9513
1189,9530
1190,9615
1191,9655
1192,9656
1193,9664
1194,9672
1195,9676
1196,9682
1197,9693
1198,9697
1199,9708
1200,9718
1201,9726
1202,9727
