ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
168640,0,[99],['Documentary'],tt2302551,[],[],11/15/12,0,75,Blood Relative
153915,0,[28],['Action'],tt2302561,[],[],10/5/12,0,96,Cage Fight
1137175,0,[16],['Animation'],tt2302673,[],[],1/1/12,0,3,Kinefaktura
180188,0,[],[],tt2302779,[],[],1/1/12,0,22,Private I's
719565,0,[],[],tt2302809,[20863],['San Francisco Opera'],3/27/12,0,0,Salome: San Francisco Opera
284045,0,[99],['Documentary'],tt2302831,[],[],1/1/12,0,75,Sourlands
323546,0,[],[],tt2302841,[],[],1/1/12,0,0,Stop All the Clocks
715062,0,"[16, 99]","['Animation', 'Documentary']",tt2302863,[46750],['Off World'],3/9/12,0,68,The Boy is Gone
322757,0,[],[],tt2302867,[],[],7/1/12,0,26,The Cinderella Effect
242676,0,"[10402, 99]","['Music', 'Documentary']",tt2302891,[3324],['BBC'],3/2/12,0,59,The Joy Of Disco
528545,0,[16],['Animation'],tt2302896,"[105326, 105327, 105328]","['Umbrella', 'Hipokaloric Group', 'Duna Workshop']",6/5/12,0,21,My Name Is Boffer Bings
138371,0,[99],['Documentary'],tt2302921,[],[],11/2/12,0,84,The Zen of Bennett
102053,0,[35],['Comedy'],tt2302925,"[6547, 19342]","['Country Music Television (CMT)', 'Parallel Entertainment Pictures']",3/12/12,0,120,Them Idiots: Whirled Tour
149911,0,[99],['Documentary'],tt2302931,[39891],['Lone Wolf Documentary Group'],4/15/12,0,86,Titanic at 100: Mystery Solved
580340,0,[27],['Horror'],tt2302939,[],[],1/1/12,0,94,Trannysnatchers
325767,0,[],[],tt2302944,[],[],1/1/12,0,0,The Balloonist
105555,0,[99],['Documentary'],tt2304485,[],[],3/2/12,0,82,Art Is... The Permanent Revolution
114574,500000,[35],['Comedy'],tt2304517,[1311],['The Asylum'],6/26/12,500000,87,Bikini Spring Break
634735,0,[99],['Documentary'],tt2304549,[],[],9/26/12,0,0,Chubby Chaser
127929,0,[99],['Documentary'],tt2304583,[],[],8/17/12,0,78,Death By China
223628,0,[],[],tt2304593,[],[],1/18/11,0,70,Det forførte menneske
204485,0,[99],['Documentary'],tt2304617,[],[],11/8/12,0,101,East End Babylon
132069,0,[],[],tt2304631,[],[],1/1/12,0,0,Faces in the Mirror
109684,0,[99],['Documentary'],tt2304743,[],[],5/4/11,0,52,Lluny de Saint Nazaire
307769,0,"[28, 35]","['Action', 'Comedy']",tt2304835,[122466],['Shri Shailendra Cinemas'],3/12/12,0,140,Mr. Nookayya
188454,0,[],[],tt2304842,[],[],7/26/12,0,6,Happy and Glorious
336567,0,"[9648, 18, 80]","['Mystery', 'Drama', 'Crime']",tt2304901,[],[],10/19/11,0,77,Sherlock Holmes
135338,0,[99],['Documentary'],tt2304997,[16541],['TV360 Films'],3/31/12,0,104,They Come to America
150384,0,[],[],tt2305352,[],[],9/28/12,0,60,Tectonics
157663,0,"[80, 9648, 53]","['Crime', 'Mystery', 'Thriller']",tt2306236,[1311],['The Asylum'],10/11/12,0,91,Layover
102848,0,[99],['Documentary'],tt2306473,[10943],['ITVS'],9/1/11,0,88,Bitter Seeds
360487,0,[99],['Documentary'],tt2306541,[126675],['British Film Institute (BFI)'],1/2/12,0,42,Fragments: The Incomplete Films of Peter de Rome
316151,0,[],[],tt2306547,[],[],1/1/12,0,19,Genderfreak
150209,0,"[16, 10751, 18]","['Animation', 'Family', 'Drama']",tt2306587,[],[],11/23/12,0,24,Jingle & Bell's Christmas Star
463766,0,"[18, 35]","['Drama', 'Comedy']",tt2306637,[],[],1/1/12,0,0,Manila Running
320878,0,[],[],tt2306703,[],[],3/1/12,0,0,Rebel
147766,0,"[80, 18, 35]","['Crime', 'Drama', 'Comedy']",tt2306707,[],[],12/11/11,0,86,Reservoir Cats
661339,0,"[99, 36]","['Documentary', 'History']",tt2306731,[],[],1/1/11,0,55,Slavery and the Law
158848,0,"[10749, 18]","['Romance', 'Drama']",tt2306783,[127220],['Lake Productions'],1/12/12,0,115,The Falls
238519,0,"[27, 878, 28]","['Horror', 'Science Fiction', 'Action']",tt2306836,[18418],['Necrostorm'],9/15/12,0,72,Taeter City
369832,0,[99],['Documentary'],tt2307420,[],[],2/17/11,0,46,Grandma's Tattoo
259029,0,[],[],tt2307680,[],[],1/1/12,0,12,Los aviones que se caen
268452,0,"[99, 10402]","['Documentary', 'Music']",tt2307756,[],[],12/9/11,0,60,Public Enemy: Prophets Of Rage
273978,0,[],[],tt2307788,[],[],1/1/12,0,0,Murge: The Cold War Front
173886,0,[99],['Documentary'],tt2308435,[18595],['ESPN Films'],3/15/12,0,120,26 Years: The Dewey Bozella Story
667220,0,[],[],tt2308439,[],[],3/10/12,0,26,300 Miles of Gravel
167910,0,[],[],tt2308451,[],[],3/15/12,0,30,A Good Teacher
452206,0,[],[],tt2308565,[],[],6/15/11,0,81,Chess Kids: Special Edition
159715,0,[],[],tt2308647,[],[],9/1/11,0,20,Encounters
205047,25000,[18],['Drama'],tt2308711,[],[],4/20/12,0,111,Healed by Grace
281102,0,[],[],tt2308721,[],[],3/8/12,0,12,Hitch Hike
134375,11000000,"[35, 10751, 10770]","['Comedy', 'Family', 'TV Movie']",tt2308733,"[1556, 4234]","['20th Century Fox Television', 'Original Pictures']",12/3/12,0,87,Home Alone: The Holiday Heist
287645,0,[35],['Comedy'],tt2308737,[],[],12/29/11,0,3,Home Video Commentaries: Not Where You Saw
89749,0,[35],['Comedy'],tt2308797,[],[],2/23/12,0,97,Mr. & Mrs. Gambler
178160,0,"[35, 10749]","['Comedy', 'Romance']",tt2308876,[],[],6/8/12,0,16,Up the Valley and Beyond
348495,0,[],[],tt2308933,[],[],4/20/12,0,52,Sunday School with Franz Hinkelammert
373504,0,[99],['Documentary'],tt2308985,[],[],4/20/12,0,0,The Rat Race
355994,0,[],[],tt2309002,[],[],9/20/12,0,71,Parapsychology 101
253049,75000,[],[],tt2309033,[],[],7/16/12,0,25,Within the Shadowz of Belize: A Green Day Arises
123095,0,[],[],tt2309170,[],[],7/26/12,0,44,Kathy Griffin: Seaman 1st Class
142158,320000,"[35, 18]","['Comedy', 'Drama']",tt2309220,[11214],['Interior13 Cine'],8/2/12,2333,103,Greatest Hits
786966,0,"[27, 53]","['Horror', 'Thriller']",tt2309368,[143093],['POV Horror'],1/1/12,0,44,The Proposal
182847,4000,[],[],tt2309398,[],[],11/2/12,0,70,Nederdood
