,MPAA,Running Time,Genres,Title,Revenue,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget
4876,,10 min,Drama Short,L Train (2011),{},tt2063699,,,,
4877,,1 hr 2 min,Documentary,Legalize Gay (2011),{},tt2063705,,,,
4878,,18 min,Drama News Short,Liberty Road (2011),{},tt2063706,,,,
4879,,2 min,Animation Comedy Fantasy Short,Plastic Sex (2011),{},tt2063752,,,,
4880,R,1 hr 21 min,Drama,Smashed (2012),"{'Domestic': 376597, 'International': 123128, 'Worldwide': 499725}",tt2063781,Sony Pictures Classics,26943.0,"October 12, 2012 (Domestic)",
4881,,1 hr,Comedy,The Hunt for Tony Blair (2011),{},tt2063812,,,,
4882,,1 hr 29 min,Comedy,The Olivia Experiment (2012),"{'Domestic': 15122, 'International': 15122}",tt2063819,Indican Pictures,2754.0,"August 22, 2014 (Domestic)",
4883,,2 hr 12 min,Documentary,Thrive: What on Earth Will It Take? (2011),{},tt2063834,,,,
4884,,23 min,Comedy Drama Short Thriller,Agorable (2012),{},tt2064720,,,,
4885,,11 min,Action Drama Short,Elevator (2011),{},tt2064766,,,,
4886,,29 min,Short,"Grotta profunda, les humeurs du gouffre (2011)",{},tt2064795,,,,
4887,,8 min,Comedy Drama Short,Late (2012),{},tt2064843,,,,
4888,,1 hr 10 min,Documentary,Nova Rex: Ain't Easy Being Cheesy (2011),{},tt2064883,,,,
4889,,17 min,Drama Short,Our Rhineland (2011),{},tt2064894,,,,
4890,,1 hr 15 min,Drama,Finding Joy (2011),{},tt2064923,,,,
4891,,1 hr 20 min,Documentary History Music,The Great Flood (2012),"{'Domestic': 20694, 'International': 20694}",tt2064960,Icarus Films,3596.0,"January 8, 2014 (Domestic)",
4892,,14 min,Crime Drama Horror Short,The Tell-Tale Heart (2011),{},tt2064975,,,,
4893,,1 hr 6 min,Comedy Horror Thriller,Theatre of the Deranged (2012),{},tt2064980,,,,
4894,,8 min,Comedy Romance Short,Would You (2012),{},tt2065010,,,,
4895,,,Music,Wynton Marsalis and Eric Clapton Play the Blues: Live from Jazz at Lincoln Center (2011),{},tt2065011,,,,
4896,,2 hr 56 min,Documentary,Dinosaur Revolution (2011),{},tt2065185,,,,
4897,,11 min,Adventure Drama Short,Angelfish (2011),{},tt2065872,,,,
4898,,15 min,Comedy Horror Musical Sci-Fi Short,Believe the Dance (2013),{},tt2065881,,,,
4899,,5 min,Drama Short,El mueble (2011),{},tt2065921,,,,
4900,,19 min,Comedy Drama Short,Hadley TK-421 (2011),{},tt2065953,,,,
4901,,1 hr 15 min,Documentary History,How to Re-Establish a Vodka Empire (2012),"{'Domestic': 3226, 'International': 3226}",tt2065967,,,"March 16, 2012 (United Kingdom)",
4902,,22 min,Adventure Animation Comedy Family Fantasy Short,Dragons: Gift of the Night Fury (2011),{},tt2065968,,,,
4903,,15 min,Family Short,Mina Moes (2011),{},tt2066010,,,,
4904,,18 min,Crime Drama Short Thriller,My Left Hand Man (2011),{},tt2066017,,,,
4905,,1 hr 7 min,Comedy Drama,Piled Higher and Deeper (2011),{},tt2066040,,,,
4906,,1 hr 37 min,Documentary History,Pray for Japan (2012),{},tt2066041,,,,
4907,,15 min,Drama Short,The Organ Grinder's Monkey (2011),{},tt2066119,,,,
4908,,1 hr 25 min,Documentary History,"The Strange History of Don't Ask, Don't Tell (2011)",{},tt2066128,,,,
4909,,13 min,Action Comedy Short Thriller,Tumult (2012),{},tt2066145,,,,
4910,,1 hr 18 min,Comedy Romance,What Luck? (2011),{},tt2066155,,,,
4911,R,1 hr 38 min,Drama,Any Day Now (2012),"{'Domestic': 201395, 'International': 60352, 'Worldwide': 261747}",tt2066176,Music Box Films,40489.0,"December 14, 2012 (Domestic)",
4912,,21 min,Drama Short,Admissions (2011),{},tt2066826,,,,
4913,,1 hr 21 min,Animation Family Fantasy,Barbie: Princess Charm School (2011),{},tt2066832,,,,
4914,,24 min,Drama Family Musical Short,Busted on Brigham Lane (2012),{},tt2066847,,,,
4915,,15 min,Action Drama Short,Cherry Waves (2012),{},tt2066850,,,,
4916,,,Documentary,Extinct: A Horizon Guide to Dinosaurs (2011),{},tt2066873,,,,
4917,,1 hr 17 min,Documentary Family,Home Movies (2011),{},tt2066891,,,,
4918,,1 hr 34 min,Action Drama Horror Thriller,Just the Vampire Hunter (2015),{},tt2066900,,,,
4919,,30 min,Short,Kiyumi's Poetry and Sayuru's Embroidery (2011),{},tt2066902,,,,
4920,,48 min,Adventure Biography Documentary,Plasticized (2011),{},tt2066944,,,,
4921,,4 min,Short,Snowballs (2011),{},tt2066973,,,,
4922,,10 min,Comedy Drama Romance Short,The Arm (2012),{},tt2066982,,,,
4923,,1 hr 29 min,Action Comedy Horror Sci-Fi Thriller,The Instant Messenger (2011),{},tt2066995,,,,
4924,,1 hr 14 min,Adventure Documentary History War,The Manzanar Fishing Club (2012),{},tt2067003,,,,
4925,,7 min,Comedy Drama Short Western,Tumbleweed! (2012),{},tt2067022,,,,
4926,,5 min,Horror Romance Short,Victoria (2011),{},tt2067025,,,,
4927,,39 min,Documentary Short,Ode to the Dawn of Man (2011),{},tt2069061,,,,
4928,,,Comedy Documentary Horror,Produce Your Own Damn Movie! (2011),{},tt2069064,,,,
4929,PG,1 hr 44 min,Drama,Abel's Field (2012),{},tt2069708,,,,
4930,,7 min,Animation Comedy Horror Short Thriller,Blenderstein! (2011),{},tt2069726,,,,
4931,,12 min,Comedy Drama Short,Friend Request Pending (2012),{},tt2069775,,,,
4932,,1 hr 19 min,Thriller,Home Sweet Home (2012),{},tt2069798,,,,
4933,,1 hr 33 min,Comedy Family,My Favorite Movie (2015),{},tt2069861,,,,
4934,,22 min,Adventure Animation Comedy Family Fantasy,Prep & Landing: Naughty vs. Nice (2011),{},tt2069885,,,,
4935,,1 hr 23 min,Drama Thriller,The Scam (2012),{},tt2069957,,,,
4936,,1 hr 42 min,Drama,White Fox Mask (2012),{},tt2069979,,,,
4937,,13 min,Comedy Drama Short Thriller,A Shot in the Dark (2011),{},tt2070589,,,,
4938,,59 min,Documentary News,Art Recession (2011),{},tt2070605,,,,
4939,,25 min,Biography Documentary Drama History Short,Atomic Epilogue,{},tt2070606,,,,
4940,,6 min,Comedy Drama Family Short,Hellion (2012),{},tt2070685,,,,
4941,,1 hr 10 min,Documentary Drama,I Send You This Place (2012),{},tt2070695,,,,
4942,,11 min,Comedy Documentary Family Short,Intimate Details (2011),{},tt2070705,,,,
4943,,40 min,Documentary Family News Short,The Last Reef (2012),{},tt2070717,,,,
4944,,,Documentary Drama Family,Leontina (2012),{},tt2070720,,,,
4945,,1 hr 27 min,Documentary,Login 2 Life (2011),{},tt2070729,,,,
4946,,10 min,Crime Romance Short,Moving Takahashi (2011),{},tt2070748,,,,
4947,,47 min,Comedy Documentary Family,My Mother's Idea (2011),{},tt2070749,,,,
4948,,1 hr 30 min,Action Comedy Horror,Ninjas vs. Monsters (2012),{},tt2070759,,,,
4949,,,Documentary,Ole War Skule: The Story of Saturday Night (2011),{},tt2070761,,,,
4950,,2 hr 17 min,Drama,Path of Souls (2012),{},tt2070773,,,,
4951,,1 hr 8 min,Drama Mystery,So It Was with Us (2012),{},tt2070809,,,,
4952,PG,1 hr 30 min,Animation Family Fantasy,Kiara the Brave (2011),{},tt2070831,,,,
4953,,1 hr 54 min,Action Crime Drama Romance Thriller,The Deception (2012),{},tt2070841,,,,
4954,,40 min,Documentary,The Dotted Line (2011),{},tt2070842,,,,
4955,,1 hr 31 min,Comedy Documentary History Music,The Entertainers (2012),{},tt2070844,,,,
4956,,10 min,Drama Short,The Great Gatsby in Five Minutes (2011),{},tt2070850,,,,
4957,,56 min,Documentary Fantasy History Sci-Fi,Wonder Women! The Untold Story of American Superheroines (2012),{},tt2070853,,,,
4958,,1 hr 13 min,Adventure Fantasy Sci-Fi,Time of the Robots (2012),{},tt2070877,,,,
4959,R,1 hr 30 min,Drama Mystery Thriller,Ultrasonic (2012),{},tt2070883,,,,
4960,,13 min,Comedy Short,Una Hora Por Favora (2011),{},tt2070886,,,,
4961,,1 hr 20 min,Action,Vida Express (2011),{},tt2070889,,,,
4962,,17 min,Adventure Documentary Short Sport War,1st Afghan Ski Challenge (2011),{},tt2071394,,,,
4963,,31 min,Drama Short,2 Kings (2011),{},tt2071395,,,,
4964,,1 hr 18 min,Horror,Deranged (2012),{},tt2071445,,,,
4965,,14 min,Drama Horror Short Thriller,Dorothy (2012),{},tt2071452,,,,
4966,,2 hr 3 min,Comedy Drama,Hoagie (2012),{},tt2071476,,,,
4967,,1 hr 26 min,Biography Documentary Music,I Stand Corrected (2012),{},tt2071479,,,,
4968,,1 hr 15 min,Action Adventure Comedy Fantasy Horror Sci-Fi Thriller,Jurassic Shark (2012),{},tt2071491,,,,
4969,,56 min,Comedy,Mel Brooks and Dick Cavett Together Again (2011),{},tt2071526,,,,
4970,,30 min,Documentary Drama Short,Okuyamba (2012),{},tt2071546,,,,
4971,,1 hr 35 min,Biography Documentary Music,Paul Kelly - Stories of Me (2012),"{'Domestic': 375661, 'International': 375661}",tt2071555,,,"October 18, 2012 (Australia)",
4972,,39 min,Documentary Drama Short,Pipe Dreams (2011),{},tt2071558,,,,
4973,,1 hr 29 min,Comedy Sci-Fi,Squid Man (2013),{},tt2071591,,,,
4974,,10 min,Comedy Short,The Art Patron (2011),{},tt2071607,,,,
4975,,28 min,Drama Short,The Behemoth (2011),{},tt2071609,,,,
4976,,1 hr 29 min,Action Adventure Drama War,The Resistance (2011),{},tt2071628,,,,
4977,,1 hr 31 min,Comedy Family Fantasy,Vampire Dog (2012),{},tt2071648,,,,
4978,,1 hr 30 min,Horror,7 Nights of Darkness (2011),{},tt2072029,,,,
4979,,18 min,Action Animation Fantasy History Short Western,Cut to Fit (2012),{},tt2072030,,,,
4980,,13 min,Adventure Animation Fantasy Short,A Shadow of Blue (2012),{},tt2072034,,,,
4981,,1 hr 15 min,Action Crime Drama Thriller War,All in the Game (2011),{},tt2072040,,,,
4982,,6 min,Animation Crime Drama Horror Short,Chilly (2012),{},tt2072073,,,,
4983,,29 min,Drama Short Thriller,Dawn (2012),{},tt2072076,,,,
4984,,1 hr 30 min,Comedy,Democracy at Work (2012),{},tt2072078,,,,
4985,,7 min,Comedy Short,Glue Man (2012),{},tt2072106,,,,
4986,,1 hr 24 min,Thriller,I Am Bad (2012),{},tt2072126,,,,
4987,,1 hr 21 min,Drama Horror Thriller,It's in the Blood (2012),{},tt2072134,,,,
4988,,30 min,Adventure Animation Family Short,Magic Piano (2011),{},tt2072163,,,,
4989,,15 min,Short,ORA (2011),{},tt2072185,,,,
4990,,1 hr 30 min,Comedy Drama Romance Sci-Fi,Own Worst Enemy (2012),{},tt2072193,,,,
4991,,,Comedy Drama,Pincus (2012),{},tt2072198,,,,
4992,,,Drama,Shades of Treason (2012),{},tt2072226,,,,
4993,,1 hr 20 min,Adventure Documentary Drama History,The Third Way to Reach Remote Tribes (2011),{},tt2072249,,,,
4994,,1 hr 42 min,Comedy Drama Thriller,The King Is Dead! (2012),{},tt2072263,,,,
4995,,14 min,Animation Comedy Drama Short,A Trick of the Light (2011),{},tt2072881,,,,
4996,,43 min,Documentary Drama Short,Children of the Trains (2012),{},tt2072922,,,,
4997,,13 min,Drama Short,Two Out of Three (2012),{},tt2072947,,,,
4998,,12 min,Animation Drama Horror Short Thriller,Drained (2012),{},tt2072949,,,,
4999,,1 hr 25 min,Action Documentary Drama,Fighting Fear (2011),"{'Domestic': 114551, 'International': 114551}",tt2072971,,,"November 10, 2011 (Australia)",
5000,,1 hr 36 min,Comedy Drama Family,God's Country (2012),{},tt2072979,,,,
5001,,1 hr 30 min,Documentary History,Harvest of Empire (2012),"{'Domestic': 79627, 'International': 79627}",tt2072987,Onyx Films,,"September 28, 2012 (Domestic)",
5002,,1 hr 46 min,Biography Documentary History,Marina Abramovic: The Artist Is Present (2012),"{'Domestic': 86637, 'International': 70058, 'Worldwide': 156695}",tt2073029,Music Box Films,11041.0,"June 13, 2012 (Domestic)",
5003,,14 min,Drama Family Short,My Tired Father (2011),{},tt2073037,,,,
5004,,1 hr 14 min,Biography Documentary Music,Shining Night: A Portrait of Composer Morten Lauridsen (2012),{},tt2073077,,,,
5005,PG-13,1 hr 42 min,Drama,Still Mine (2012),"{'Domestic': 1159336, 'International': 393394, 'Worldwide': 1552730}",tt2073086,The Samuel Goldwyn Company,,"May 3, 2013 (Domestic)",
5006,,1 hr 41 min,Comedy,The Big Something (2011),{},tt2073099,,,,
5007,,1 hr 16 min,Documentary Drama News,The Singularity (2012),{},tt2073120,,,,
5008,G,40 min,Documentary Short,To the Arctic 3D (2012),"{'Domestic': 14560838, 'International': 9134550, 'Worldwide': 23695388}",tt2073128,Warner Bros.,270228.0,"April 20, 2012 (Domestic)",
5009,,1 hr 15 min,Comedy Drama War,Dipso (2012),{},tt2073129,,,,
5010,,1 hr 12 min,Adventure Animation Family Fantasy,Quest for Zhu (2011),{},tt2073154,,,,
5011,,1 hr 24 min,Animation Comedy Drama Romance,An Oversimplification of Her Beauty (2012),"{'Domestic': 71906, 'International': 71906}",tt2073520,Variance Films,10055.0,"April 26, 2013 (Domestic)",
5012,,1 hr 12 min,Drama Romance,Body Temperature (2011),{},tt2073540,,,,
5013,,1 hr 37 min,Comedy,Casting Me... (2012),{},tt2073547,,,,
5014,PG,1 hr 33 min,Comedy,More Than Frybread (2011),{},tt2073616,,,,
5015,,14 min,Action Fantasy Short Thriller,Most High (2012),{},tt2073617,,,,
5016,,1 hr 30 min,Drama,The Last Day of August (2012),"{'Domestic': 2492, 'International': 2492}",tt2073681,Striped Entertainment,1693.0,"October 4, 2013 (Domestic)",
5017,,1 hr 39 min,Comedy,Trevor Noah: Crazy Normal (2011),{},tt2073693,,,,
5018,,6 min,Drama Short War,Unwatchable (2011),{},tt2073701,,,,
5019,,,Comedy Short,Engelenbak (2011),{},tt2074358,,,,
5020,,1 hr 35 min,Drama Horror Thriller,Flat 3A (2011),{},tt2074362,,,,
5021,,1 hr 50 min,Comedy,Karipap-Karipap Cinta (2011),{},tt2074390,,,,
5022,,50 min,Drama,Mijn Marko (2011),{},tt2074403,,,,
5023,,1 hr 31 min,Comedy Horror Mystery Thriller,Rasuk (2011),{},tt2074425,,,,
5024,,1 hr 26 min,Comedy Drama Romance,Sekali Lagi (2011),{},tt2074435,,,,
5025,,1 hr 13 min,Thriller,The Turing Enigma (2011),{},tt2074461,,,,
5026,,31 min,Documentary Short,Wild Horses in Winds of Change (2010),{},tt2074486,,,,
5027,,1 hr 27 min,Documentary,9/11: The Days After (2011),{},tt2075077,,,,
5028,,1 hr 20 min,Horror Romance Thriller,Bangin' Vengeance! (2011),{},tt2075109,,,,
5029,,1 hr 29 min,Biography Drama History Sport,Bert & Dickie (2012),{},tt2075121,,,,
5030,,1 hr 50 min,Drama Horror,Cove Road (2012),{},tt2075144,,,,
5031,,,Music,Hit Man Returns: David Foster and Friends - Behind the Scenes (2011),{},tt2075152,,,,
5032,,21 min,Drama Short,Fetch (2011),{},tt2075175,,,,
5033,,1 hr 31 min,Drama History War,Gibier d'élevage (2011),{},tt2075188,,,,
5034,,2 hr 22 min,Drama,J.A.C.E. (2011),{},tt2075223,,,,
5035,,1 hr 25 min,Musical,Midnight Tango (2011),{},tt2075251,,,,
5036,,1 hr 15 min,Drama,Payin' the Price (2011),{},tt2075278,,,,
5037,,1 hr,Documentary,Rex Appeal (2011),{},tt2075294,,,,
5038,,1 hr 21 min,Family,Seeker & Fetch (2011),{},tt2075305,,,,
5039,,1 hr 16 min,Biography Documentary Sport,Strong! (2012),{},tt2075317,,,,
5040,,1 hr 7 min,Documentary,The Haunting of Fox Hollow Farm (2011),{},tt2075337,,,,
5041,,1 hr 8 min,Documentary Drama,The Invisible Men (2012),{},tt2075340,,,,
5042,,1 hr 31 min,Documentary,The American Scream (2012),{},tt2075373,,,,
5043,,,Short,We Might As Well Be Strangers (2010),{},tt2075381,,,,
5044,,30 min,Comedy Drama Short,Z-Lister (2012),{},tt2075394,,,,
5045,,1 hr 9 min,Adventure Documentary Reality-TV,Beauty Beneath the Dirt (2012),{},tt2076157,,,,
5046,,1 hr 14 min,Documentary,Bons baisers de la Colonie (2011),"{'Domestic': 6664, 'International': 6664}",tt2076164,,,"May 9, 2012 (Belgium)",
5047,,15 min,Comedy Family Short Sport,Bruce Lee Played Badminton Too (2011),{},tt2076169,,,,
5048,,1 hr 49 min,Drama,Happy Christmas (2011),{},tt2076215,,,,
5049,,1 hr 31 min,Horror Thriller,I Am ZoZo (2012),{},tt2076223,,,,
5050,,1 hr 16 min,Documentary,Iceland Food Center (2011),{},tt2076227,,,,
5051,,1 hr 30 min,Documentary,La reine malade (2011),{},tt2076252,,,,
5052,,1 hr 38 min,Comedy,Limpwings (2011),{},tt2076264,,,,
5053,,1 hr 14 min,Biography Documentary History,Mental Notes (2012),{},tt2076270,,,,
5054,,1 hr 10 min,Documentary,Rupture: A Matter of Life or Death (2011),{},tt2076319,,,,
5055,PG,1 hr 18 min,Adventure Documentary Drama Family,Penguins (2012),"{'Domestic': 358864, 'International': 358864}",tt2076349,,,"January 3, 2013 (Serbia and Montenegro)",
5056,,1 hr 14 min,Documentary Sport,The Human Tower (2012),{},tt2076360,,,,
5057,,52 min,Documentary Music,Bruce Springsteen: Glory Days (2012),{},tt20765380,,,,
5058,,1 hr 38 min,Action,420 High Desert Way (2010),{},tt2076779,,,,
5059,,58 min,Documentary Horror,A Night at the Movies: The Horrors of Stephen King (2011),{},tt2076787,,,,
5060,,10 min,Music Mystery Short,Aldilà (2011),{},tt2076792,,,,
5061,,1 hr 25 min,Comedy,Another Night of the Living Dead (2011),{},tt2076794,,,,
5062,,1 hr 27 min,Comedy Drama Romance,Meeting Leila (2012),{},tt2076799,,,,
5063,,1 hr 18 min,Horror,Badmouth (2011),{},tt2076802,,,,
5064,,50 min,Adventure Comedy Family History Musical,Buck Denver Asks... Why Do We Call It Christmas? (2011),{},tt2076815,,,,
5065,,4 min,Action Adventure Fantasy Short,Castle of the Damned (2011),{},tt2076818,,,,
5066,,51 min,Documentary Family,In a Stranger's Skin (2011),{},tt2076829,,,,
5067,,1 hr 37 min,Biography Documentary,Ethel (2012),{},tt2076844,,,,
5068,,1 hr 16 min,Drama Horror Thriller,I Am a Ghost (2012),{},tt2076862,,,,
5069,,12 min,Comedy Drama Romance Short,It's Not You (2011),{},tt2076865,,,,
5070,,1 hr 35 min,Drama,Kelly + Victor (2012),{},tt2076871,,,,
5071,,14 min,Drama Short,Lambs (2011),{},tt2076878,,,,
5072,,1 hr 30 min,Documentary History,Islamic Art: Mirror of the Invisible World (2011),{},tt2076895,,,,
5073,,1 hr 51 min,Crime Drama Romance,My Brother the Devil (2012),"{'Domestic': 44906, 'International': 87150, 'Worldwide': 132056}",tt2076897,Paladin/108 Media,10305.0,"November 9, 2012 (United Kingdom)",
5074,,8 min,Action Comedy Sci-Fi Short,Spoon Wars (2011),{},tt2076939,,,,
5075,,1 hr 7 min,Documentary News,The Quest for Local Honey (2011),{},tt2076957,,,,
5076,,1 hr 8 min,Biography Drama,Undaunted... The Early Life of Josh McDowell (2011),{},tt2076977,,,,
5077,,1 hr 27 min,Documentary,Virgin Tales (2012),{},tt2076984,,,,
5078,,59 min,Documentary,Wojtek: The Bear That Went to War (2011),{},tt2076992,,,,
5079,,51 min,Biography Sport,Unguarded (2011),{},tt2077005,,,,
5080,,1 hr 10 min,Documentary,Antonio + Silvana = 2 (2011),{},tt2077694,,,,
5081,,1 hr 43 min,Drama,Blackbird (2012),{},tt2077721,,,,
5082,,13 min,Comedy Short,Coloscopia (2011),{},tt2077729,,,,
5083,,1 hr 45 min,Adventure,I Love Your Moves (2012),{},tt2077766,,,,
5084,,5 min,Comedy Horror Short Thriller,Slash-in-the-Box (2011),{},tt2077849,,,,
5085,PG-13,1 hr 21 min,Comedy Drama Romance,Sleepwalk with Me (2012),"{'Domestic': 2266067, 'International': 2266067}",tt2077851,IFC Films,68801.0,"August 24, 2012 (Domestic)",
5086,,6 min,Horror Short,T is for Tantrum (2011),{},tt2077862,,,,
5087,,1 hr 11 min,Documentary,The Apple Pushers (2011),{},tt2077866,,,,
5088,,26 min,Action Comedy Short Thriller,The Back of Beyond (2012),{},tt2077867,,,,
5089,,18 min,Sci-Fi Short,The Diatom (2012),{},tt2077875,,,,
5090,,17 min,Drama Short,The Most Girl Part of You (2012),{},tt2077885,,,,
5091,,2 hr 17 min,Drama Musical Romance Thriller,The Phantom of the Opera at the Royal Albert Hall (2011),"{'Domestic': 4451482, 'International': 4451482}",tt2077886,,,"September 29, 2011 (Netherlands)",
5092,,1 hr 24 min,Drama,Unwanted Guest (2011),{},tt2077903,,,,
5093,,,Documentary,Zombies: A Living History (2011),{},tt2077909,,,,
5094,,18 min,Drama Short,Babysitting (2011),{},tt2078537,,,,
5095,,1 hr 32 min,Crime Drama Thriller,Blood (2012),{},tt2078552,,,,
5096,,1 hr 11 min,Horror,Blood Lodge (2012),{},tt2078553,,,,
5097,,1 hr,Musical,Celtic Thunder: Storm (2011),{},tt2078565,,,,
5098,,52 min,Documentary,Sunday in Brazzaville (2012),{},tt2078595,,,,
5099,,1 hr 37 min,Horror Mystery Thriller,Back from Hell (2011),{},tt2078613,,,,
5100,,1 hr 35 min,Comedy Musical Sci-Fi,Psycho Bettys from Planet Pussycat (2011),{},tt2078709,,,,
5101,,15 min,Horror Short Thriller,Séance (2011),{},tt2078737,,,,
5102,,10 min,Crime Documentary Mystery Short,Finding Benjaman (2011),{},tt2079505,,,,
5103,,19 min,Short,Happy Hour (2012),{},tt2079511,,,,
5104,,1 hr 20 min,Crime Documentary,Herman's House (2012),"{'Domestic': 4956, 'International': 4956}",tt2079512,First Run,3552.0,"April 19, 2013 (Domestic)",
5105,,2 hr 20 min,Comedy Drama,Mayagadu (2011),{},tt2079539,,,,
5106,,26 min,Biography Documentary Drama History Short,Mein Schloss (2012),{},tt2079540,,,,
5107,,21 min,Horror Short,Popularity Killer (2011),{},tt2079564,,,,
5108,,2 hr 43 min,Documentary Music,Rush: Time Machine 2011: Live in Cleveland (2011),{},tt2079566,,,,
5109,,1 hr 30 min,Biography Documentary,Roman Polanski: A Film Memoir (2011),"{'Domestic': 63783, 'International': 63783}",tt2079571,,,"May 18, 2012 (Poland)",
5110,,1 hr 29 min,Adventure Documentary Family,Wolves Unleashed (2011),{},tt2079615,,,,
5111,,29 min,Comedy Drama Short,Picture Paris (2011),{},tt2080359,,,,
5112,,59 min,Documentary,T-shirt stories (2011),{},tt2080378,,,,
5113,,1 hr 12 min,Drama,The Liquid Bomb Plot (2011),{},tt2080394,,,,
5114,,1 hr 28 min,Documentary,The New World (2011),{},tt2080410,,,,
5115,,1 hr 20 min,Drama,Amazing Love (2012),{},tt2081167,,,,
5116,,2 hr,Drama,City of Dreamers (2012),{},tt2081213,,,,
5117,,,Documentary,Cubamerican (2013),{},tt2081226,,,,
5118,,26 min,Drama Fantasy Short,Grantræet (2011),{},tt2081254,,,,
5119,PG-13,1 hr 30 min,Adventure Fantasy,Grimm's Snow White (2012),{},tt2081255,,,,
5120,,1 hr 4 min,Biography Comedy Documentary Drama,Her Master's Voice (2012),{},tt2081260,,,,
5121,,1 hr 32 min,Documentary,High Ground (2012),{},tt2081261,Red Flag Releasing,,"November 2, 2012 (Domestic)",
5122,,4 min,Horror Short,Lock Up (2011),{},tt2081303,,,,
5123,,1 hr 12 min,Action Horror,Planet Dead (2011),{},tt2081335,,,,
5124,,5 min,Horror Short,Stitches (2011),{},tt2081375,,,,
5125,,1 hr 14 min,Documentary News,Too Sane for This World (2011),{},tt2081405,,,,
5126,R,1 hr 22 min,Comedy Crime Thriller,The Liability (2012),{},tt2081437,,,,
5127,,1 hr 20 min,Horror,869 (2012),{},tt2082162,,,,
5128,,8 min,Adventure Animation Drama Romance Short,Cadaver (2012),{},tt2082222,,,,
5129,,53 min,Documentary,Hillsville 1912: A Shooting in the Court (2011),{},tt2082297,,,,
5130,,1 hr 26 min,Horror,Rage of the Yeti (2011),{},tt2082408,,,,
5131,PG-13,1 hr 34 min,Action Drama War,Saints and Soldiers: Airborne Creed (2012),{},tt2082415,,,,
5132,,1 hr 50 min,Drama,Somefarwhere (2011),{},tt2082429,,,,
5133,,3 min,Horror Short,The Closet (2011),{},tt2082452,,,,
5134,,11 min,Comedy Drama Short,The Dump (2011),{},tt2082455,,,,
5135,,1 hr 20 min,Drama,Tiger Tail in Blue (2012),{},tt2082482,,,,
5136,,1 hr 15 min,Documentary,Çürük - The Pink Report (2011),{},tt2082520,,,,
5137,,1 hr 16 min,Horror,1313: Bigfoot Island (2012),{},tt2083123,,,,
5138,,53 min,Documentary History News,365 Without 377 (2011),{},tt2083127,,,,
5139,,1 hr 18 min,Documentary Drama,Ballroom Dancer (2011),"{'Domestic': 2442, 'International': 2442}",tt2083141,,,"January 18, 2013 (United Kingdom)",
5140,,10 min,Drama Short,"Bom Dia, Bom Dia, Hora da Escola (2011)",{},tt2083149,,,,
5141,,55 min,Drama,Grace Surpasses (2011),{},tt2083199,,,,
5142,,20 min,Drama Short,I Have No Hold on You (2012),{},tt2083217,,,,
5143,,1 hr 26 min,Comedy Music Musical,In the Night (2012),{},tt2083223,,,,
5144,,1 hr 40 min,Drama,Kubli (2011),{},tt2083245,,,,
5145,,2 hr 34 min,Documentary,Lung Neaw Visits His Neighbours (2011),{},tt2083255,,,,
5146,,1 hr 12 min,Documentary Music,Nirvana: Live at the Paramount (2011),{},tt2083271,,,,
5147,,27 min,Drama History Short Western,One Hundred & Sixty Acres (2011),{},tt2083284,,,,
5148,R,1 hr 33 min,Comedy Drama,Picture Day (2012),{},tt2083294,,,,
5149,,1 hr 36 min,Documentary Sport,Ready to Fly (2012),{},tt2083306,,,,
5150,R,1 hr 46 min,Action Drama Thriller,A Dark Truth (2012),"{'Domestic': 5750, 'International': 5750}",tt2083379,Magnolia Pictures,630.0,"January 4, 2013 (Domestic)",
5151,PG-13,1 hr 51 min,Drama Sport,Trouble with the Curve (2012),"{'Domestic': 35763137, 'International': 13200000, 'Worldwide': 48963137}",tt2083383,Warner Bros.,12162040.0,"September 21, 2012 (Domestic)",
5152,,1 hr 36 min,Horror Mystery,Two Days Back (2011),{},tt2083385,,,,
5153,,1 hr 29 min,Biography Documentary Drama Musical,Basically Frightened: The Musical Madness of Colonel Bruce Hampton (2012),{},tt2083935,,,,
5154,,1 hr 20 min,Documentary,Vatikan - Die verborgene Welt (2011),{},tt2084003,,,,
5155,,16 min,Drama Romance Short,Ok Breathe Auralee (2012),{},tt2084042,,,,
5156,,1 hr 27 min,Documentary,Prayer for a Perfect Season (2011),{},tt2084059,,,,
5157,,16 min,Drama Short,Say That You Love Me (2011),{},tt2084080,,,,
5158,,57 min,Documentary,Talibe: The Least Favored Children of Senegal (2011),{},tt2084104,,,,
5159,,7 min,Adventure Animation Fantasy Mystery Short,The Panda Rabbit (2011),{},tt2084116,,,,
5160,,18 min,Drama Fantasy Short,Trashland (2011),{},tt2084131,,,,
5161,,3 min,Horror Short,Zombis #1 (2011),{},tt2084157,,,,
5162,,1 hr 40 min,Documentary,America the Beautiful 2: The Thin Commandments (2011),"{'Domestic': 12366, 'International': 12366}",tt2084773,Rogers & Cowan/PMK,5599.0,"October 14, 2011 (Domestic)",
5163,,1 hr 15 min,Documentary,Beautiful Faces (2012),{},tt2084784,,,,
5164,,,Horror Short,Butterfinger the 13th (2011),{},tt2084802,,,,
5165,,2 hr,Documentary History,California Forever (2011),{},tt2084803,,,,
5166,,1 hr 30 min,Action Drama,Dam California (2012),{},tt2084810,,,,
5167,,6 min,Animation Comedy Horror Musical Short,Damn That Pussycat! (2011),{},tt2084811,,,,
