,MPAA,Running Time,Genres,Title,Revenue,imdb_ids,Domestic Distributor,Domestic Opening,Earliest Release Date,Budget
141,,5 min,Drama Short,Là-Bas (2012),{},tt10092534,,,,
142,PG-13,1 hr 48 min,Action Comedy Crime Fantasy Horror Mystery Thriller,Dylan Dog: Dead of Night (2010),"{'Domestic': 1186538, 'International': 4595977, 'Worldwide': 5782515}",tt1013860,Omni Lab/Freestyle Releasing,754779.0,"March 16, 2011 (Italy)",
143,,1 hr 37 min,Drama Mystery Thriller,The Least of These (2008),{},tt1014766,,,,
144,,1 hr 45 min,Documentary,Programming the Nation? (2011),{},tt1023345,International Film Circuit,,"August 19, 2011 (Domestic)",
145,R,2 hr,Biography Drama Thriller,Argo (2012),"{'Domestic': 136025503, 'International': 96300000, 'Worldwide': 232325503}",tt1024648,Warner Bros.,19458109.0,"October 11, 2012 (Thailand)",44500000.0
146,,30 min,Sport,NB80's (2011),{},tt10254706,,,,
147,,9 min,Animation Short,"Edwina, the Dinosaur Who Didn't Know She Was Extinct (2011)",{},tt10260518,,,,
148,,1 hr 28 min,Drama Horror Mystery Thriller,Tied in Blood (2011),{},tt1027755,,,,
149,R,1 hr 43 min,Horror Thriller,Fog Warning (2008),{},tt1027812,,,,
150,,1 hr 25 min,Horror Thriller,Asylum Blackout (2011),"{'Domestic': 98201, 'International': 98201}",tt1027820,,,"July 13, 2012 (Türkiye)",
151,,50 min,Documentary,Scene Missing (2012),{},tt10289732,,,,
152,,1 hr 34 min,Comedy,Tied to a Chair (2011),{},tt1029385,,,,
153,,45 min,Comedy Drama Thriller,Last Days In Waldo County (2012),{},tt10300354,,,,
154,PG-13,1 hr 37 min,Drama Mystery,Inseparable (2011),{},tt1032763,,,,
155,R,1 hr 55 min,Comedy Drama,The Descendants (2011),"{'Domestic': 82584160, 'International': 94659025, 'Worldwide': 177243185}",tt1033575,Fox Searchlight,1190096.0,"November 16, 2011 (Domestic)",
156,,1 hr 23 min,Comedy Horror,Bad Meat (2011),{},tt1034010,,,,
157,,1 hr 25 min,Comedy Drama Romance,Somewhere Tonight (2011),"{'Domestic': 8139, 'International': 8139}",tt1034293,,,"April 26, 2012 (Russia/CIS)",
158,R,1 hr 33 min,Action Adventure Comedy Sci-Fi,Iron Sky (2012),"{'Domestic': 122082, 'International': 9987577, 'Worldwide': 10109659}",tt1034314,Entertainment One,,"April 4, 2012 (EMEA)",
159,PG-13,1 hr 54 min,Action Adventure Drama War,The Eagle (2011),"{'Domestic': 19490041, 'International': 18499643, 'Worldwide': 37989684}",tt1034389,Focus Features,8684464.0,"February 10, 2011 (Russia/CIS)",25000000.0
160,,5 min,Comedy Short,Meritocracy (2012),{},tt10345920,,,,
161,,1 hr 46 min,Drama,Everyday (2012),"{'Domestic': 25644, 'International': 25644}",tt1037223,,,"January 17, 2014 (Brazil)",
162,,,Documentary,Partners in Crime (2011),{},tt10376266,,,,
163,,1 hr 5 min,Documentary,AC/DC: Dirty Deeds (2012),{},tt10393022,,,,
164,,1 hr 39 min,Action,La furia de un sicario (2012),{},tt10409150,,,,
165,,1 hr 24 min,Documentary Horror,Dracula: The Vampire and the Voivode (2011),{},tt10414032,,,,
166,,1 hr 25 min,Documentary,My Run (2009),{},tt1041659,,,,
167,,1 hr 27 min,Comedy,Not Another B Movie (2010),{},tt1043757,,,,
168,R,2 hr 2 min,Comedy Drama Romance,Silver Linings Playbook (2012),"{'Domestic': 132092958, 'International': 104319495, 'Worldwide': 236412453}",tt1045658,The Weinstein Company,443003.0,"November 16, 2012 (Domestic)",21000000.0
169,,1 hr 20 min,Action Adventure Sci-Fi,Wasteland (2011),{},tt1045673,,,,
170,R,1 hr 45 min,Action Fantasy,Cross (2011),{},tt1046245,,,,
171,PG-13,1 hr 30 min,Comedy Drama Music Romance,Unfinished Song (2012),"{'Domestic': 1702668, 'International': 7464197, 'Worldwide': 9166865}",tt1047011,The Weinstein Company,25728.0,"February 22, 2013 (United Kingdom)",
