ID,Budget,Genre ID,Genre Name,IMDB ID,Production Company ID,Production Company Name,Release Date,Revenue,Runtime,Title
44593,700000,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']",tt0259567,[],[],2004-02-06,16201,90,Perfect Opposites
11836,30000000,"[10751, 16, 35, 14, 12]","['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure']",tt0345950,"[4, 2348, 8921, 20]","['Paramount', 'Nickelodeon Movies', 'United Plankton Pictures', 'Rough Draft Studios']",2004-11-14,140161792,87,The SpongeBob SquarePants Movie
11866,45000000,"[28, 12, 18, 53]","['Action', 'Adventure', 'Drama', 'Thriller']",tt0377062,"[54004, 1302, 49478, 25]","['Optional Pictures', 'Davis Entertainment', 'Aldrich Group', '20th Century Fox']",2004-12-17,21009180,113,Flight of the Phoenix
44634,3000000,[18],['Drama'],tt0399901,[],[],2004-09-30,6804016,94,Woman Thou Art Loosed
12109,2000000,"[18, 35, 10402]","['Drama', 'Comedy', 'Music']",tt0388139,"[2540, 10393]","['True West Films', 'Vertigo Films']",2004-09-12,120620,90,It's All Gone Pete Tong
12153,37000000,"[35, 80]","['Comedy', 'Crime']",tt0381707,"[5, 497, 1608, 67253]","['Columbia Pictures', 'Revolution Studios', 'Wayans Bros. Entertainment', 'Gone North Productions']",2004-06-23,113086475,109,White Chicks
12281,500000,"[80, 18]","['Crime', 'Drama']",tt0377091,"[3095, 10146, 838]","['Whitewater Films', 'Focus Features', 'Paramount Vantage']",2004-01-15,603943,90,Mean Creek
12532,0,"[27, 878, 28]","['Horror', 'Science Fiction', 'Action']",tt0371920,"[7956, 3631, 14332]","['Castelao Productions', 'Filmax', 'Fantastic Factory (Filmax)']",2004-12-01,270402,95,Rottweiler
12634,50000000,"[35, 80]","['Comedy', 'Crime']",tt0315824,"[2265, 67989, 78070]","['Shangri-La Entertainment', 'Material', 'Taormina Productions']",2004-01-30,6808550,88,The Big Bounce
12653,4500000,"[28, 27]","['Action', 'Horror']",tt0374180,"[10843, 3631, 104728, 104729, 7956, 14332]","['Future Films', 'Filmax', 'CGAI: Centro Galego de Artes da Imaxe', 'Baños Films', 'Castelao Productions', 'Fantastic Factory (Filmax)']",2004-05-13,432671,90,Romasanta: The Werewolf Hunt
12657,16000000,"[10749, 35]","['Romance', 'Comedy']",tt0367085,[21],['Metro-Goldwyn-Mayer'],2004-05-28,14822346,86,Soul Plane
897439,78,"[16, 35, 14]","['Animation', 'Comedy', 'Fantasy']",tt11502848,[17797],['Bruno Bozzetto Film'],2004-01-01,78,3,Mr. Otto in 17
12703,10000000,[18],['Drama'],tt0330099,"[21741, 23756, 856, 95354]","['Kinétique Inc.', 'Vincent Gallo Films', 'Wild Bunch', 'Gray Daisy Films']",2004-04-07,365734,93,The Brown Bunny
78516,0,[99],['Documentary'],tt0407263,[],[],2004-10-03,613252,90,Going Upriver: The Long War of John Kerry
13073,0,"[35, 18]","['Comedy', 'Drama']",tt0362004,[],[],2004-09-03,809686,100,Palindromes
13193,5000000,[35],['Comedy'],tt0332375,"[60, 279, 54280]","['United Artists', 'Single Cell Pictures', 'Infinity Media']",2004-01-21,10100000,92,Saved!
13373,0,"[35, 80, 18, 10751]","['Comedy', 'Crime', 'Drama', 'Family']",tt0366777,"[2746, 2452, 288, 133789, 7981, 851, 43]","['Mission Pictures', 'UK Film Council', 'BBC Film', 'Ingenious Film Partners', 'Pathé', 'MEDIA Programme of the European Union', 'Fox Searchlight Pictures']",2004-04-29,11782282,98,Millions
13416,30000000,[18],['Drama'],tt0390022,"[23, 23438, 23439, 33]","['Imagine Entertainment', 'Friday Night Lights', 'MDBF Filmgesellschaft mbH & Company KG', 'Universal Pictures']",2004-10-08,61255921,118,Friday Night Lights
13443,0,[99],['Documentary'],tt0353774,"[3447, 173497]","['IMAX', 'NASCAR Productions']",2004-03-12,20000000,48,NASCAR: The IMAX Experience
13476,17000000,"[35, 10749]","['Comedy', 'Romance']",tt0335559,[7],['DreamWorks Pictures'],2004-01-23,16980098,95,Win a Date with Tad Hamilton!
13572,50000000,"[28, 12, 80, 18, 53]","['Action', 'Adventure', 'Crime', 'Drama', 'Thriller']",tt0315297,"[53282, 4, 53283, 824, 53284, 491]","['Harlequin Pictures', 'Paramount', 'Intertainment AG', 'Kopelson Entertainment', 'Blackout Productions Inc.', 'Summit Entertainment']",2004-02-27,40954603,97,Twisted
13700,110000000,"[16, 10751]","['Animation', 'Family']",tt0299172,[2],['Walt Disney Pictures'],2004-04-02,145358062,76,Home on the Range
