id,name,known_for_dept,popularity
55434,Leonid Citer,Acting,2.891
55435,David Allen Brooks,Acting,3.22
55436,Semion Sudarikov,Acting,0.763
55437,Peter Von Berg,Acting,2.729
55438,Dmitri S. Boudrine,Acting,1.145
12538,Nick Searcy,Acting,8.646
1177850,François Duhamel,Camera,1.4
1007561,Michael Forest,Acting,3.668
51537,Lauren Birkell,Acting,8.132
1268193,Yelena Popovic,Writing,1.4
156774,Viveka Davis,Acting,2.55
2212011,Jennifer Choe,Acting,0.6
87039,Nan Martin,Acting,2.494
154181,Anne Bellamy,Acting,4.673
1219220,Dennis Letts,Acting,1.991
94904,Wendy Worthington,Acting,3.71
47884,Valerie Wildman,Acting,8.642
52274,John Duerler,Acting,1.638
131125,Steve Monroe,Acting,2.664
98533,Lisa Long,Acting,1.656
20220,Elden Henson,Acting,9.612
28168,Timothy Stack,Acting,3.335
1080072,Alice Vaughn,Acting,0.715
188129,Joe Conley,Acting,2.056
1440067,Garret Davis,Acting,1.787
42547,Jay Acovone,Acting,5.113
1297931,Christopher Kriesa,Acting,3.185
1236002,Derick Alexander,Acting,1.081
2368524,Vsevolod Boldin,Acting,2.052
15899,Jenifer Lewis,Acting,5.298
45215,Vince Martin,Acting,2.336
1118286,Valentina Ananina,Acting,0.6
148122,Geoffrey Blake,Acting,5.133
24,Robert Zemeckis,Directing,11.497
3036,John Cusack,Acting,23.953
1562,Iben Hjejle,Acting,6.761
3230,Todd Louiso,Acting,3.064
70851,Jack Black,Acting,44.604
3232,Lisa Bonet,Acting,10.142
1922,Catherine Zeta-Jones,Acting,15.887
3234,Joan Cusack,Acting,16.509
504,Tim Robbins,Acting,25.455
3235,Chris Rehmann,Acting,0.6
3236,Ben Carr,Acting,0.6
3127,Lili Taylor,Acting,13.27
3237,Joelle Carter,Acting,4.847
3270,Natasha Gregson Wagner,Acting,7.64
3271,Shannon Stillo,Acting,0.6
3272,Drake Bell,Acting,5.132
3273,Laura Whyte,Acting,3.326
3282,Sara Gilbert,Acting,9.762
1051450,Rich Talarico,Acting,0.697
1208967,Matthew O'Neill,Acting,0.6
189758,Brian Powell,Acting,0.782
3283,Margaret Travolta,Acting,8.297
554631,Jillian Peterson,Acting,2.689
933416,Dick Cusack,Acting,4.922
1273201,Susan Yoo,Acting,0.6
4445,Chris Bauer,Acting,13.08
6945,K.K. Dodds,Acting,11.885
142333,Marilyn Dodds Frank,Acting,0.945
1273202,Duke Doyle,Acting,0.98
43373,Aaron Himelstein,Acting,2.267
1273203,Jonathan Herrington,Acting,0.6
